cdate,cp,pctlead,slope2,slope3,slope4,slope5,slope6,slope7,slope8,slope9,pred_linr,pred_logr
2007-01-03,1416.600000,0.122800,-0.286800,-0.240400,-0.005300,0.082200,-0.020000,-0.069800,-0.078800,-0.046000,0.065909,0.524342
2007-01-04,1418.340000,-0.608500,0.001400,-0.150200,-0.149700,0.020300,0.088900,0.000400,-0.045700,-0.056400,0.079700,0.508842
2007-01-05,1409.710000,0.222000,-0.243600,-0.202400,-0.265200,-0.241700,-0.084400,-0.010600,-0.075700,-0.108300,0.057166,0.499474
2007-01-08,1412.840000,-0.051700,-0.194900,-0.088700,-0.096500,-0.168000,-0.164700,-0.040900,0.018300,-0.042800,0.035739,0.499588
2007-01-09,1412.110000,0.194000,0.085000,-0.147100,-0.079400,-0.087600,-0.148700,-0.148600,-0.042200,0.010600,0.062162,0.515824
2007-01-10,1414.850000,0.634000,0.071100,0.121200,-0.061800,-0.024800,-0.040700,-0.099800,-0.105800,-0.016100,0.058559,0.508584
2007-01-11,1423.819900,0.485300,0.412500,0.258300,0.249100,0.077500,0.085000,0.055700,-0.008000,-0.023700,0.043203,0.501051
2007-01-12,1430.730000,0.081800,0.556300,0.436100,0.314900,0.296300,0.145700,0.142400,0.109600,0.047000,0.027545,0.492196
2007-01-16,1431.900000,-0.089400,0.282300,0.397800,0.347100,0.267900,0.260300,0.136500,0.134800,0.106500,0.036356,0.496283
2007-01-17,1430.620000,-0.297100,-0.003800,0.158400,0.275800,0.259500,0.208100,0.210000,0.108000,0.109700,0.022218,0.499723
2007-01-18,1426.370000,0.289500,-0.193600,-0.101700,0.044600,0.161300,0.166600,0.135700,0.146400,0.062800,0.048083,0.501672
2007-01-19,1430.500000,-0.527800,-0.004200,-0.032700,-0.004000,0.093400,0.182500,0.184100,0.154900,0.162200,0.038243,0.493943
2007-01-22,1422.950000,0.354200,-0.119900,-0.179200,-0.156700,-0.108900,-0.010100,0.081000,0.095000,0.078800,0.039955,0.495262
2007-01-23,1427.990000,0.850100,-0.088000,0.037800,-0.046100,-0.054800,-0.032000,0.041700,0.115000,0.123700,0.026855,0.493852
2007-01-24,1440.130000,-1.127000,0.599000,0.224400,0.240500,0.133000,0.095900,0.093900,0.142600,0.196500,0.031126,0.497680
2007-01-25,1423.900000,-0.120800,-0.142800,0.022100,-0.115500,-0.034600,-0.078400,-0.080000,-0.059700,0.000600,0.049931,0.507036
2007-01-26,1422.180100,-0.109700,-0.630700,-0.135500,-0.013500,-0.116600,-0.048900,-0.084400,-0.085100,-0.066500,0.050982,0.515639
2007-01-29,1420.620000,0.577200,-0.115400,-0.457300,-0.129100,-0.032700,-0.115500,-0.057600,-0.087600,-0.087800,0.070266,0.523015
2007-01-30,1428.819900,0.659300,0.233000,0.115200,-0.198600,0.011600,0.068500,-0.016800,0.021500,-0.014000,0.071823,0.494427
2007-01-31,1438.240000,0.535400,0.614600,0.374600,0.251100,-0.026500,0.119500,0.152900,0.067700,0.092300,0.023117,0.485823
2007-02-01,1445.939900,0.169400,0.593600,0.587100,0.414400,0.308000,0.067700,0.179100,0.200800,0.120000,-0.005399,0.482916
2007-02-02,1448.390000,-0.096700,0.350700,0.451700,0.482000,0.364900,0.284600,0.082400,0.177900,0.197300,0.038084,0.504501
2007-02-05,1446.990000,0.069800,0.036300,0.201600,0.314400,0.365800,0.287500,0.229700,0.059800,0.147100,0.026404,0.505202
2007-02-06,1448.000000,0.139500,-0.013500,0.047400,0.168600,0.265400,0.316300,0.256200,0.209600,0.060900,0.044503,0.492780
2007-02-07,1450.020000,-0.117900,0.104600,0.037500,0.070400,0.162700,0.244300,0.290900,0.241500,0.201700,0.024297,0.485198
2007-02-08,1448.310100,-0.707700,0.010700,0.030400,-0.001400,0.032700,0.115900,0.192500,0.239600,0.201400,0.021172,0.484765
2007-02-09,1438.060100,-0.326100,-0.414400,-0.229200,-0.154400,-0.142800,-0.090800,-0.001800,0.079900,0.134200,0.032577,0.503363
2007-02-12,1433.370000,0.759700,-0.520300,-0.385400,-0.253600,-0.188700,-0.173300,-0.124300,-0.042100,0.035000,0.055100,0.516700
2007-02-13,1444.260000,0.764400,0.215500,-0.093800,-0.099900,-0.051800,-0.031500,-0.040900,-0.014500,0.046300,0.061336,0.507538
2007-02-14,1455.300000,0.103800,0.756300,0.397900,0.121100,0.073100,0.084200,0.082100,0.059800,0.071900,0.039032,0.487516
2007-02-15,1456.810100,-0.087200,0.431000,0.538100,0.323800,0.117600,0.078300,0.087000,0.084800,0.064700,0.015807,0.488288
2007-02-16,1455.540000,0.284400,0.008200,0.258300,0.381500,0.241300,0.083300,0.054500,0.065100,0.065600,0.023567,0.508564
2007-02-20,1459.680100,-0.140400,0.098400,0.100200,0.264600,0.361800,0.248400,0.112100,0.083300,0.089600,0.052928,0.512159
2007-02-21,1457.630000,-0.085800,0.071600,0.018800,0.040000,0.183500,0.277900,0.192600,0.080300,0.058300,0.056561,0.498021
2007-02-22,1456.380000,-0.356400,-0.113200,0.019200,-0.007400,0.014800,0.138700,0.225900,0.157700,0.061800,0.025612,0.484166
2007-02-23,1451.189900,-0.125400,-0.221500,-0.194500,-0.074700,-0.077200,-0.047000,0.068000,0.153100,0.100500,0.030654,0.497241
2007-02-26,1449.370000,-3.472500,-0.241700,-0.189600,-0.177300,-0.084800,-0.085200,-0.058200,0.043900,0.122300,0.047275,0.507826
2007-02-27,1399.040000,0.556100,-1.830800,-1.333600,-1.017900,-0.840600,-0.651400,-0.570400,-0.485600,-0.346800,0.118779,0.553007
2007-02-28,1406.819900,-0.259400,-1.516500,-1.042700,-0.868500,-0.709400,-0.613200,-0.483300,-0.433400,-0.373100,0.100766,0.540750
2007-03-01,1403.170000,-1.140300,0.147000,-1.097600,-0.848600,-0.748400,-0.635800,-0.563800,-0.456100,-0.414600,0.156095,0.544624
2007-03-02,1387.170000,-0.940800,-0.704200,-0.282800,-1.111500,-0.908700,-0.814500,-0.707900,-0.635500,-0.531200,0.108936,0.515945
2007-03-05,1374.120000,1.549400,-1.052000,-0.785200,-0.447300,-1.079600,-0.915400,-0.833400,-0.737200,-0.669200,0.112704,0.561479
2007-03-06,1395.410000,-0.246500,0.297500,-0.186700,-0.205200,-0.052100,-0.645000,-0.568300,-0.541200,-0.489000,0.099548,0.550853
2007-03-07,1391.970000,0.712700,0.640400,0.115300,-0.201900,-0.213600,-0.084600,-0.588300,-0.528400,-0.508800,0.185130,0.541604
2007-03-08,1401.890000,0.067800,0.231900,0.662900,0.264600,-0.018400,-0.059000,0.029200,-0.425500,-0.391000,0.022468,0.497473
2007-03-09,1402.840000,0.268000,0.387600,0.177000,0.513600,0.224900,-0.004000,-0.040800,0.034000,-0.370400,0.064089,0.512012
2007-03-12,1406.600000,-2.036800,0.167600,0.347400,0.199700,0.464100,0.232100,0.035100,-0.002000,0.060100,0.057994,0.511893
2007-03-13,1377.950000,0.669100,-0.893900,-0.571700,-0.250800,-0.250100,0.045700,-0.094600,-0.226400,-0.230200,0.100493,0.528027
2007-03-14,1387.170000,0.368400,-0.702700,-0.375600,-0.264100,-0.068800,-0.098500,0.133700,0.000000,-0.127700,0.029996,0.497738
2007-03-15,1392.280000,-0.382800,0.515600,-0.344400,-0.189800,-0.137900,0.003700,-0.032100,0.162800,0.040800,0.089262,0.501934
2007-03-16,1386.950000,1.089400,-0.007900,0.216000,-0.354400,-0.228600,-0.178800,-0.051500,-0.075900,0.102300,0.024169,0.486261
2007-03-19,1402.060100,0.633300,0.350700,0.356100,0.433000,-0.065400,-0.009300,0.001700,0.090400,0.053000,0.019141,0.497912
2007-03-20,1410.939900,1.708100,0.852800,0.444300,0.425100,0.472700,0.051900,0.083000,0.081000,0.150900,0.019424,0.506113
2007-03-21,1435.040000,-0.034800,1.158800,1.132100,0.758800,0.681200,0.678500,0.290400,0.287500,0.263100,0.038711,0.480578
2007-03-22,1434.540000,0.109400,0.822400,0.758800,0.837500,0.597800,0.559800,0.574600,0.248900,0.250900,-0.022196,0.477487
2007-03-23,1436.110000,0.096800,0.037300,0.584600,0.595600,0.690600,0.515300,0.494400,0.515400,0.233000,-0.013242,0.470934
2007-03-26,1437.500000,-0.618400,0.103000,0.057100,0.462500,0.495400,0.590800,0.454800,0.444000,0.468100,0.019519,0.494522
2007-03-27,1428.610000,-0.796600,-0.261700,-0.137800,-0.112100,0.246400,0.309300,0.417200,0.319500,0.324700,0.011707,0.480396
2007-03-28,1417.230000,0.374000,-0.712300,-0.440800,-0.302700,-0.249000,0.073200,0.151700,0.265600,0.195100,0.036858,0.488089
2007-03-29,1422.530000,-0.117400,-0.214100,-0.350700,-0.238000,-0.168200,-0.145900,0.115800,0.179200,0.277400,0.008297,0.493778
2007-03-30,1420.860000,0.259700,0.127700,-0.181900,-0.292500,-0.214000,-0.159800,-0.141800,0.086800,0.146400,0.060958,0.502470
2007-04-02,1424.550000,0.928000,0.071000,0.171500,-0.071400,-0.182000,-0.135200,-0.100000,-0.091800,0.105900,0.032537,0.502686
2007-04-03,1437.770000,0.111300,0.590800,0.355800,0.360000,0.128600,0.003200,0.016600,0.028300,0.021200,0.030068,0.502321
2007-04-04,1439.370000,0.305000,0.515100,0.430300,0.294300,0.309900,0.125700,0.018700,0.028500,0.037500,0.045939,0.504275
2007-04-05,1443.760000,0.058900,0.207800,0.444600,0.398600,0.296200,0.308900,0.151400,0.054700,0.059400,0.038195,0.499866
2007-04-09,1444.610000,0.261700,0.181400,0.158000,0.347900,0.330300,0.256400,0.272900,0.139700,0.055200,0.025128,0.497175
2007-04-10,1448.390000,-0.657300,0.160000,0.208000,0.183900,0.330500,0.318700,0.257100,0.271400,0.153300,0.035180,0.487110
2007-04-11,1438.870000,0.620600,-0.198800,-0.112900,-0.008700,0.015200,0.165500,0.178700,0.142100,0.167500,0.034854,0.496097
2007-04-12,1447.800000,0.348800,-0.020400,0.073600,0.069900,0.116700,0.115800,0.230200,0.233800,0.195200,0.009984,0.485343
2007-04-13,1452.850000,1.065500,0.482000,0.102800,0.142400,0.125700,0.155400,0.149100,0.244900,0.246500,0.034901,0.492169
2007-04-16,1468.330000,0.214500,0.702800,0.674300,0.343300,0.326900,0.282400,0.285500,0.263800,0.336200,-0.003181,0.474723
2007-04-17,1471.480000,0.069300,0.633700,0.539100,0.558300,0.317200,0.307900,0.272500,0.276400,0.258200,0.005032,0.485413
2007-04-18,1472.500000,-0.120200,0.141600,0.445300,0.421100,0.459900,0.275500,0.273400,0.246800,0.253100,-0.001536,0.490646
2007-04-19,1470.730000,0.926100,-0.025500,0.054400,0.303900,0.312600,0.362700,0.218500,0.223800,0.205600,0.042921,0.503558
2007-04-20,1484.350000,-0.230400,0.401000,0.290700,0.271600,0.427600,0.414400,0.442900,0.307200,0.302100,0.007327,0.479125
2007-04-23,1480.930100,-0.035100,0.344000,0.190000,0.159900,0.170700,0.317300,0.321600,0.358000,0.246700,0.023389,0.475476
2007-04-24,1480.410000,1.013900,-0.133000,0.217700,0.133700,0.120900,0.136300,0.266800,0.276800,0.314000,-0.013023,0.480160
2007-04-25,1495.420000,-0.078200,0.486900,0.248400,0.415600,0.309200,0.269500,0.261600,0.360000,0.358700,0.010317,0.490382
2007-04-26,1494.250000,-0.012000,0.462900,0.298000,0.166400,0.316300,0.244200,0.219400,0.218700,0.310800,0.022477,0.489842
2007-04-27,1494.069900,-0.783100,-0.045200,0.304700,0.220300,0.130600,0.261400,0.207400,0.190300,0.192900,0.019251,0.487073
2007-04-30,1482.370000,0.265100,-0.399100,-0.291900,0.032900,0.019300,-0.022200,0.111800,0.083100,0.081500,0.024562,0.508163
2007-05-01,1486.300000,0.647200,-0.261700,-0.178100,-0.153100,0.079000,0.060100,0.018700,0.130900,0.103200,0.057731,0.504421
2007-05-02,1495.920000,0.432500,0.454400,0.041400,0.028000,0.006700,0.173300,0.143700,0.097100,0.188100,0.047500,0.494986
2007-05-03,1502.390000,0.215000,0.536600,0.446400,0.139400,0.109100,0.077800,0.210300,0.179900,0.134500,0.004318,0.474003
2007-05-04,1505.620000,0.256400,0.322500,0.429000,0.388100,0.154600,0.126800,0.097500,0.210900,0.183700,0.014673,0.491614
2007-05-07,1509.480000,-0.116600,0.235100,0.300200,0.385500,0.361500,0.171600,0.145400,0.117500,0.215900,0.015876,0.505548
2007-05-08,1507.720000,0.322300,0.069600,0.117800,0.195800,0.284800,0.281400,0.130100,0.112400,0.091300,0.055718,0.504980
2007-05-09,1512.580000,-1.395600,0.102600,0.153600,0.168800,0.221000,0.290900,0.287200,0.154200,0.135800,0.027111,0.489388
2007-05-10,1491.470000,0.964100,-0.540900,-0.399200,-0.235000,-0.145100,-0.049300,0.049100,0.075800,-0.019300,0.048927,0.501734
2007-05-11,1505.850000,-0.179300,-0.224500,-0.041500,-0.060300,0.003100,0.038300,0.094300,0.162500,0.173700,0.027051,0.494367
2007-05-14,1503.150000,-0.130400,0.388200,-0.209500,-0.076000,-0.084200,-0.027400,0.007200,0.060100,0.124500,0.057511,0.506212
2007-05-15,1501.189900,0.862700,-0.155100,0.215500,-0.189800,-0.086900,-0.091900,-0.042100,-0.010000,0.038900,0.031983,0.491206
2007-05-16,1514.140000,-0.091800,0.364500,0.183500,0.376300,0.020800,0.071100,0.044200,0.070700,0.086700,0.033217,0.505288
2007-05-17,1512.750000,0.661000,0.381900,0.212000,0.114400,0.282300,0.001900,0.047700,0.027100,0.052600,0.034380,0.503591
2007-05-18,1522.750000,0.154300,0.283600,0.473900,0.323900,0.223700,0.345300,0.096400,0.124600,0.097800,0.054131,0.495468
2007-05-21,1525.100000,-0.064300,0.405200,0.240300,0.393600,0.289700,0.212000,0.317700,0.103700,0.127900,0.004735,0.493799
2007-05-22,1524.120000,-0.120700,0.044900,0.248700,0.164000,0.301800,0.230400,0.172300,0.269600,0.084800,0.036491,0.487374
2007-05-23,1522.280000,-0.970300,-0.092600,-0.010300,0.156400,0.107000,0.231200,0.180100,0.135500,0.226000,0.032765,0.501946
2007-05-24,1507.510000,0.545300,-0.548200,-0.386300,-0.250700,-0.068900,-0.072700,0.059500,0.035900,0.012200,0.041259,0.504670
2007-05-25,1515.730000,0.157000,-0.216700,-0.184600,-0.154400,-0.092400,0.032700,0.015000,0.119700,0.092200,0.055205,0.500082
2007-05-29,1518.110000,0.798400,0.349400,-0.091800,-0.099100,-0.092100,-0.050900,0.050400,0.032700,0.123800,0.040480,0.499006
2007-05-30,1530.230000,0.025500,0.475700,0.497800,0.130900,0.080500,0.056300,0.070300,0.143700,0.117600,0.022197,0.481576
2007-05-31,1530.620000,0.373700,0.408700,0.325200,0.379200,0.109700,0.071200,0.051800,0.064600,0.130500,0.023577,0.502956
2007-06-01,1536.340000,0.184900,0.199200,0.396500,0.337000,0.377800,0.153900,0.114600,0.092200,0.099100,0.022717,0.501370
2007-06-04,1539.180100,-0.534700,0.278300,0.194300,0.343400,0.306400,0.345400,0.158300,0.123400,0.102600,0.056125,0.505417
2007-06-05,1530.950000,-0.886400,-0.175600,0.007200,0.011700,0.167500,0.165700,0.219000,0.071000,0.049700,0.030446,0.494717
2007-06-06,1517.380000,-1.757000,-0.715100,-0.413300,-0.216200,-0.167900,-0.007900,0.015400,0.080800,-0.035700,0.057956,0.504721
2007-06-07,1490.720000,1.137000,-1.337400,-1.067600,-0.750500,-0.524000,-0.432000,-0.256600,-0.205100,-0.122500,0.076669,0.530888
2007-06-08,1507.670000,0.096200,-0.323800,-0.515500,-0.521100,-0.377900,-0.251600,-0.211800,-0.085700,-0.058800,0.084172,0.512924
2007-06-11,1509.120000,-1.068200,0.609900,-0.183200,-0.362300,-0.397800,-0.299300,-0.202200,-0.173600,-0.065700,0.075619,0.505811
2007-06-12,1493.000000,1.518400,-0.488700,0.050600,-0.406300,-0.504800,-0.510300,-0.409300,-0.310300,-0.272600,0.054497,0.508104
2007-06-13,1515.670000,0.481600,0.217700,0.177100,0.414100,-0.022800,-0.169100,-0.222500,-0.170800,-0.109600,0.048313,0.528875
2007-06-14,1522.970000,0.652700,0.986300,0.305600,0.253300,0.427200,0.061800,-0.075600,-0.134100,-0.098100,0.080055,0.521334
2007-06-15,1532.910000,-0.121300,0.564200,0.873000,0.392300,0.333300,0.464600,0.146900,0.016200,-0.046000,0.059003,0.485275
2007-06-18,1531.050000,0.173100,0.263700,0.335300,0.623500,0.288700,0.256800,0.380000,0.112900,0.000700,-0.006959,0.490684
2007-06-19,1533.700000,-1.360100,0.025800,0.233400,0.294600,0.533000,0.269200,0.244700,0.353900,0.119700,0.024942,0.490430
2007-06-20,1512.840000,0.618000,-0.597700,-0.438400,-0.165800,-0.037100,0.216900,0.035000,0.042500,0.161900,0.078858,0.518648
2007-06-21,1522.189900,-1.289600,-0.379200,-0.193900,-0.175700,-0.010200,0.071200,0.273500,0.107400,0.106200,0.013375,0.486714
2007-06-22,1502.560100,-0.320800,-0.339900,-0.686300,-0.469300,-0.399200,-0.223400,-0.123000,0.078500,-0.048000,0.079415,0.506665
2007-06-25,1497.740000,-0.323800,-0.814900,-0.333900,-0.595800,-0.440100,-0.386500,-0.237300,-0.147500,0.034700,0.042341,0.507944
2007-06-26,1492.890000,0.900900,-0.323300,-0.652100,-0.331600,-0.542100,-0.421100,-0.377800,-0.248100,-0.166900,0.090834,0.534716
2007-06-27,1506.340000,-0.041800,0.286700,0.084100,-0.264200,-0.086400,-0.302800,-0.233800,-0.219600,-0.122000,0.061446,0.510819
2007-06-28,1505.710000,-0.156700,0.425600,0.176900,0.052500,-0.219600,-0.079000,-0.265600,-0.209900,-0.199900,0.093518,0.515945
2007-06-29,1503.350000,1.069600,-0.099400,0.231700,0.093400,0.010500,-0.209100,-0.090100,-0.252000,-0.204000,0.027172,0.511241
2007-07-02,1519.430100,0.358000,0.453900,0.289100,0.439800,0.288100,0.186900,-0.026200,0.054700,-0.105200,0.072854,0.513132
