cdate,cp,pctlead,slope2,slope3,slope4,slope5,slope6,slope7,slope8,slope9,dow,moy,pred_linr,pred_logr
2017-01-03,2257.830100,0.572200,0.190600,0.117300,-0.122800,-0.052900,-0.023100,-0.046500,-0.071600,-0.023100,0.020000,0.010000,0.005890,0.510538
2017-01-04,2270.750000,-0.077100,0.704900,0.317600,0.231000,0.016600,0.051400,0.062000,0.030800,-0.000000,0.030000,0.010000,-0.025076,0.500295
2017-01-05,2269.000000,0.351700,0.246000,0.443800,0.218400,0.169100,0.000900,0.033000,0.044500,0.018800,0.040000,0.010000,-0.014786,0.511717
2017-01-06,2276.980000,-0.354900,0.137000,0.280900,0.420400,0.245000,0.199500,0.051200,0.072900,0.078700,0.050000,0.010000,0.017161,0.525161
2017-01-09,2268.899900,0.000000,-0.002200,-0.027100,0.121800,0.265100,0.144600,0.119900,0.000100,0.025100,0.010000,0.010000,-0.025334,0.508191
2017-01-10,2268.899900,0.283000,-0.178100,-0.001500,-0.020400,0.097500,0.220900,0.123900,0.104900,0.000100,0.020000,0.010000,0.037855,0.518037
2017-01-11,2275.320100,-0.214500,0.141300,-0.024400,0.069500,0.040200,0.128300,0.229700,0.143800,0.124700,0.030000,0.010000,-0.038161,0.494868
2017-01-12,2270.439900,0.185000,0.033900,0.022600,-0.072000,0.012700,-0.002300,0.079300,0.174100,0.103800,0.040000,0.010000,-0.013383,0.504193
2017-01-13,2274.639900,-0.296800,-0.015000,0.084200,0.063200,-0.020600,0.041400,0.024500,0.092500,0.175300,0.050000,0.010000,0.012077,0.514165
2017-01-17,2267.889900,0.176400,-0.056100,-0.109100,-0.011100,-0.008900,-0.066700,-0.007000,-0.015700,0.049200,0.020000,0.010000,0.011114,0.509534
2017-01-18,2271.889900,-0.360900,-0.060600,0.021300,-0.037800,0.026300,0.021900,-0.032000,0.015900,0.005600,0.030000,0.010000,0.029360,0.519391
2017-01-19,2263.689900,0.336600,-0.092600,-0.160900,-0.074400,-0.102500,-0.038200,-0.032800,-0.073200,-0.026000,0.040000,0.010000,0.018504,0.518095
2017-01-20,2271.310100,-0.269000,-0.012800,0.050200,-0.036700,0.007700,-0.029400,0.015200,0.013300,-0.027700,0.050000,0.010000,-0.008727,0.515053
2017-01-23,2265.200000,0.656500,0.033300,-0.098400,-0.029700,-0.083200,-0.038500,-0.063700,-0.020400,-0.018100,0.010000,0.010000,0.054967,0.515286
2017-01-24,2280.070100,0.802600,0.192700,0.240300,0.090100,0.107300,0.039900,0.060600,0.026100,0.054600,0.020000,0.010000,-0.011527,0.505732
2017-01-25,2298.370100,-0.073500,0.724500,0.395400,0.380500,0.232700,0.223300,0.149100,0.153500,0.112600,0.030000,0.010000,-0.042566,0.499595
2017-01-26,2296.679900,-0.086600,0.361500,0.457900,0.277600,0.289100,0.181300,0.180500,0.121000,0.128100,0.040000,0.010000,-0.061213,0.501987
2017-01-27,2294.689900,-0.601000,-0.080200,0.212200,0.321600,0.204500,0.226200,0.142800,0.146900,0.097800,0.050000,0.010000,0.020891,0.521768
2017-01-30,2280.899900,-0.089000,-0.344900,-0.254200,0.009000,0.137100,0.069900,0.107600,0.049400,0.063400,0.010000,0.010000,0.012790,0.510850
2017-01-31,2278.870100,0.029800,-0.346900,-0.259800,-0.213100,-0.010500,0.099600,0.047300,0.083100,0.034000,0.020000,0.010000,0.040428,0.517260
2017-02-01,2279.550000,0.057000,-0.029600,-0.221400,-0.187500,-0.164600,-0.003800,0.089600,0.045100,0.077200,0.030000,0.020000,-0.001925,0.501122
2017-02-02,2280.850100,0.726500,0.043400,-0.000700,-0.151700,-0.138700,-0.127800,0.004900,0.085600,0.046400,0.040000,0.020000,0.005379,0.504673
2017-02-03,2297.419900,-0.211500,0.390300,0.270500,0.180800,0.023900,0.005400,-0.005900,0.094800,0.156500,0.050000,0.020000,-0.008707,0.508032
2017-02-06,2292.560100,0.022700,0.255100,0.189400,0.149600,0.102000,-0.015500,-0.025700,-0.031700,0.060600,0.010000,0.020000,0.008889,0.507845
2017-02-07,2293.080100,0.069300,-0.094600,0.177700,0.147600,0.124200,0.088800,-0.010100,-0.019700,-0.025700,0.020000,0.020000,0.056862,0.524774
2017-02-08,2294.669900,0.575300,0.046000,-0.040000,0.150600,0.132000,0.115000,0.086000,-0.000100,-0.009800,0.030000,0.020000,-0.001584,0.513478
2017-02-09,2307.870100,0.356600,0.321300,0.222000,0.113700,0.235300,0.205700,0.180700,0.147200,0.064000,0.040000,0.020000,-0.055525,0.502300
2017-02-10,2316.100100,0.524600,0.463500,0.332700,0.255500,0.162400,0.255400,0.227300,0.202800,0.170500,0.050000,0.020000,-0.049017,0.499188
2017-02-13,2328.250000,0.400700,0.438800,0.483000,0.380300,0.309300,0.222900,0.293900,0.264500,0.238700,0.010000,0.020000,-0.043073,0.487435
2017-02-14,2337.580100,0.499200,0.460400,0.425500,0.461900,0.384100,0.324400,0.248400,0.307200,0.279700,0.020000,0.020000,-0.028667,0.497157
2017-02-15,2349.250000,-0.086400,0.448100,0.472600,0.443500,0.468900,0.403100,0.349400,0.279900,0.328600,0.030000,0.020000,-0.085820,0.490909
2017-02-16,2347.220000,0.167900,0.205300,0.269700,0.332400,0.336900,0.375700,0.332500,0.294300,0.238700,0.040000,0.020000,-0.047598,0.499420
2017-02-17,2351.159900,0.604800,0.040700,0.192700,0.244100,0.299300,0.308600,0.345800,0.311700,0.280000,0.050000,0.020000,-0.062411,0.496959
2017-02-21,2365.379900,-0.108200,0.385000,0.228300,0.295300,0.316000,0.350000,0.350800,0.378100,0.344300,0.020000,0.020000,-0.057815,0.485714
2017-02-22,2362.820100,0.041900,0.246600,0.220400,0.144000,0.214300,0.244900,0.284200,0.292900,0.323500,0.030000,0.020000,-0.059435,0.488808
2017-02-23,2363.810100,0.149300,-0.033200,0.178400,0.175700,0.123500,0.185500,0.215800,0.253700,0.264800,0.040000,0.020000,-0.003588,0.503122
2017-02-24,2367.340100,0.101000,0.095500,0.027600,0.171000,0.170400,0.127800,0.180300,0.207400,0.242000,0.050000,0.020000,-0.048183,0.500274
2017-02-27,2369.730000,-0.257000,0.125000,0.097300,0.046000,0.157000,0.158700,0.123900,0.170300,0.195500,0.010000,0.020000,-0.004053,0.500748
2017-02-28,2363.639900,1.367400,-0.078200,-0.002400,0.008700,-0.014700,0.087900,0.099300,0.076200,0.122700,0.020000,0.020000,0.026216,0.507601
2017-03-01,2395.960000,-0.586000,0.551100,0.401400,0.338500,0.279400,0.215000,0.270100,0.257300,0.219400,0.030000,0.030000,-0.064613,0.488013
2017-03-02,2381.919900,0.050400,0.382600,0.170700,0.153300,0.152500,0.134100,0.099600,0.162100,0.162700,0.040000,0.030000,-0.031408,0.502041
2017-03-03,2383.120100,-0.327700,-0.269500,0.272000,0.140600,0.132700,0.135400,0.122100,0.093400,0.149700,0.050000,0.030000,0.019204,0.518278
2017-03-06,2375.310100,0.000000,-0.138900,-0.289200,0.122400,0.046900,0.055900,0.069100,0.065700,0.046500,0.010000,0.030000,0.047730,0.511368
